Paper	Area	Lat domain	LAT	LONG	Water depth	Stations/Facies	Molluscs	Symbiont bearing colonial corals	RCA	Foraminifera	Halimeda	Echinoderms	Sessile benthic filter feeders (Non symbiont bearing corals+Sponges+Bryozoans+Serpulids+Crinoids+Barnacles+Brachiopods)	Mobile Arthropoda (Ostracod+Artropods+Decapods)	Bioclasts 	Non Skelatel	Total	Molluscs	Symbiont bearing colonial corals	RCA	Foraminifera	Halimeda	Echinoderms	Sessile benthic filter feeders (Non symbiont bearing corals+Sponges+Bryozoans+Serpulids+Crinoids+Barnacles+Brachiopods)	Mobile Arthropoda (Ostracod+Artropods+Decapods)	Bioclasts 	Non Skelatel	
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	10.0	BB14	5.4	25.5	17.9	6.5	6.1	1.1	0	0	0	0.4	62.9	8.58505564387917	40.5405405405405	28.4578696343402	10.3338632750397	9.69793322734499	1.74880763116057	0	0	0	0.635930047694754	100
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	0.5	BB19	17	18.7	2.8	7.4	9.1	1.1	0	0	0	0.6	56.7	29.9823633156966	32.9805996472663	4.93827160493827	13.0511463844797	16.0493827160494	1.94003527336861	0	0	0	1.05820105820106	100
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	3.0	BB28	11.5	8.5	7.4	6.3	9.6	0.3	0	0	0	11.3	54.9	20.9471766848816	15.4826958105647	13.4790528233151	11.4754098360656	17.4863387978142	0.546448087431694	0	0	0	20.5828779599271	100
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	13.0	BB1	5.6	2	1.2	0.4	4.8	0	0	0	0	65.9	79.9	7.00876095118899	2.50312891113892	1.50187734668335	0.500625782227785	6.00750938673342	0	0	0	0	82.4780976220275	100
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	22.0	BB2	6.8	2.8	0	1.2	12	0.3	0	0	0	38.6	61.7	11.0210696920583	4.53808752025932	0	1.94489465153971	19.4489465153971	0.486223662884927	0	0	0	62.5607779578606	100
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	26.0	BB29	10.5	8.4	2.9	1.3	6.3	0.8	0	0	0	52.4	82.6	12.7118644067797	10.1694915254237	3.51089588377724	1.57384987893463	7.6271186440678	0.968523002421308	0	0	0	63.4382566585956	100
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	28.0	BB4	18.8	28.8	3.2	4.4	21.2	0.8	0	0	0	2.8	80	23.5	36	4	5.5	26.5	1	0	0	0	3.5	100
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	48.0	BB9	22.1	11.2	0.4	2.2	31.9	0.4	0	0	0	4.3	72.5	30.4827586206897	15.448275862069	0.551724137931034	3.03448275862069	44	0.551724137931034	0	0	0	5.93103448275862	100
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	26.0	BB12	17.3	28.5	8.7	1.2	39	0.6	0	0	2.5	1.9	99.7	17.3520561685055	28.5857572718154	8.72617853560682	1.20361083249749	39.1173520561685	0.601805416248746	0	0	2.50752256770311	1.90571715145436	100
Sedimentary facies of Bora Bora, Darwin’s typebarrier reef (society Islands, South Pacific): the unexpected occurrence of non-skeletal grains Gischel 2011	Bora Bora 	Tropic	-16.500	-151.800	22.0	BB26	7.9	28.2	10.4	1.5	40.5	0.5	0	0	1	8.9	98.9	7.98786653185035	28.5136501516684	10.51567239636	1.51668351870576	40.9504550050556	0.505561172901921	0	0	1.01112234580384	8.9989888776542	100
