,0
0,North_at_10.5
1,11513_at_40.0
2,11514_at_40.0
3,11515_at_10.0
4,11526_at_40.0
5,11527_at_10.0
6,11530_at_40.0
7,11531_at_40.0
8,11532_at_40.0
9,11547_at_40.0
10,BIH_at_80.0
11,BGR_at_30.0
12,BGW_at_30.0
13,BFB_at_30.0
14,BFW_at_30.0
15,BGF_at_30.0
16,BGI_at_30.0
17,BIA_at_30.0
18,1_at_501.0
19,2_at_396.0
20,3_at_406.0
21,4_at_486.0
22,5_at_951.0
23,6_at_481.0
24,7_at_386.0
25,8_at_346.0
26,9_at_356.0
27,10_at_391.0
28,11_at_401.0
29,12_at_466.0
30,13_at_311.0
31,14_at_281.0
32,15_at_391.0
33,16_at_506.0
34,17_at_1046.0
35,18_at_686.0
36,19_at_386.0
37,20_at_236.0
38,21_at_206.0
39,22_at_246.0
40,23_at_346.0
41,24_at_221.0
42,25_at_181.0
43,26_at_181.0
44,27_at_231.0
45,28_at_486.0
46,29_at_896.0
47,30_at_636.0
48,31_at_196.0
49,32_at_161.0
50,33_at_202.0
51,34_at_256.0
52,35_at_236.0
53,36_at_166.0
54,37_at_171.0
55,38_at_216.0
56,39_at_271.0
57,40_at_891.0
58,41_at_486.0
59,42_at_286.0
60,43_at_226.0
61,44_at_216.0
62,45_at_266.0
63,nan_at_80.0
64,1_at_70.0
65,2_at_50.0
66,3_at_90.0
67,4_at_50.0
68,5_at_100.0
69,6_at_100.0
70,7_at_50.0
71,8_at_200.0
72,9_at_150.0
73,10_at_150.0
74,11_at_150.0
75,nan_at_152.0
76,Maerl_at_10.0
77,Algal gravel sand_at_57.0
78,Bivalve-coralline algal muddy sand_at_57.0
79,Echinoderm-bivalve-foraminifer sand_at_57.0
80,Barnacle-bivalve-echinoderm sand_at_57.0
81,Bryozoan-bivalve-barnacle sand_at_60.0
82,Barnacle-foraminifer sand_at_45.0
83,Foraminifer-bryozoan sand_at_50.0
84,MPG 11C_at_0.5
85,MPG 11E_at_0.3
86,MPG 11I_at_1.2
87,MPG 11K_at_0.7
88,MPG 11O_at_0.5
89,MPG 12A_at_1.6
90,MPG 12F_at_0.5
91,MPG 12K_at_0.7
92,MPG 12M_at_0.4
93,MPG 12O_at_0.4
94,MPG 14C_at_2.0
95,MPG 14E_at_3.0
96,MPG 21F_at_0.5
97,MPG 21G_at_0.3
98,MPG 21H_at_0.4
99,MPG 21P_at_0.5
100,MPG 22C_at_0.6
101,MPG 22E_at_0.5
102,MPG 22I_at_0.5
103,MPG 23A_at_21.0
