,0
0,1A_Bryozoans quartzose gravel and sands_at_50.0
1,1B_Molluscan quartzose gravel and sands_at_40.0
2,1C_Biogenic quartzose gravel and sands_at_55.0
3,2A_Bryozoans relict gravel and sands_at_100.0
4,2B_Molluscan relict gravel and sands_at_60.0
5,2C_Biogenic relict gravel and sands_at_120.0
6,3A_Bryozans gravel and sands_at_200.0
7,3B_Molluscan gravel and sands_at_150.0
8,3C_Biogenic gravel sands and muds_at_90.0
9,Type 1_at_11.0
10,Type 2_at_5.0
11,Type 3_at_1.0
12,Type 4_at_5.0
13,Type 5_at_8.0
14,Alcyonarian--Terrigeneous facies_at_35.0
15,Foraminiferal facies_at_25.0
16,Coral--coralline algal facies_at_2.0
17,Coral—molluscan facies_at_1.0
18,Coral—terrigeneous facies_at_1.0
19,coastal zone_at_2.0
20,reef platform/patch reefs_at_12.0
21,central channel_at_25.0
